Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc,target,predict
0-20 cm,45564332,3.9,4.56,3.24,15.1,,-1.0,0.7,19.7,,,,,SE,SE3,SE32,SE322,62.02223889,14.47368849,15-10-18,397,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,2.68860177862804,2.552500358985532
0-20 cm,45844474,3.4,4.16,11.73,61.0,,40.5,2.4,140.8,,,,,SE,SE3,SE32,SE322,63.28111813,15.21980854,23-07-18,338,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,2.87291949834493,3.548734556086854
0-20 cm,46064580,3.2,4.02,10.08,477.9,,54.1,14.0,555.3,,,,,SE,SE3,SE32,SE322,64.218082,15.8435848,01-10-18,299,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,3.90175041033683,3.1103184672531383
0-20 cm,47344522,3.8,4.47,9.68,59.7,,25.9,3.2,98.7,,,,,SE,SE3,SE32,SE321,63.58151477,18.29481698,24-07-18,112,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,3.40878522328685,3.5393658614494035
0-20 cm,46324670,3.5,4.2,4.66,26.4,,26.6,0.9,31.0,,,,,SE,SE3,SE33,SE331,65.00586517,16.56126493,24-07-18,445,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,2.80938468211112,3.887847559597981
0-20 cm,47584660,3.1,4.0,5.22,332.8,,30.2,7.4,245.0,,,,,SE,SE3,SE33,SE331,64.78831154,19.16239865,10-09-18,262,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,3.19542197164385,2.7274233217793893
0-20 cm,48004842,3.2,3.96,5.77,55.5,,43.4,1.4,36.8,,,,,SE,SE3,SE33,SE332,66.35899239,20.66321891,17-09-18,169,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,3.93922236631482,3.4399876970300456
0-20 cm,48004986,4.7,5.28,9.6,73.9,,-1.0,4.2,39.2,,,,,SE,SE3,SE33,SE332,67.64239547,21.23016765,21-08-18,312,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,3.77634459067902,3.6409364029506253
0-20 cm,48084764,3.8,4.45,15.17,177.8,,19.4,5.7,185.8,,,,,SE,SE3,SE33,SE332,65.65280266,20.55233739,21-08-18,160,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,2.18645187380759,2.7956243241660443
0-20 cm,48204840,3.3,4.11,7.23,71.6,,25.1,2.2,102.3,,,,,SE,SE3,SE33,SE332,66.31296148,21.09295459,17-09-18,156,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,3.82933402894397,3.315378520288273
0-20 cm,48504726,3.2,4.06,4.43,21.1,,25.7,0.9,33.5,,,,,SE,SE3,SE33,SE332,65.25525991,21.30186614,13-08-18,18,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,2.69616615577096,3.575168301586939
0-20 cm,48524982,3.9,4.67,4.04,36.1,,22.9,1.4,33.7,,,,,SE,SE3,SE33,SE332,67.52675156,22.40464804,21-08-18,269,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,4.01332552699679,3.6939882553137724
0-20 cm,48544698,3.2,4.12,5.74,68.0,,37.4,2.6,47.3,,,,,SE,SE3,SE33,SE331,65.00051385,21.28136064,09-09-18,31,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,2.69826190228213,3.5325178732945774
0-20 cm,48724914,4.0,4.86,3.01,17.1,,25.2,0.8,30.7,,,,,SE,SE3,SE33,SE332,66.89088896,22.54751823,19-08-18,190,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,4.01663307941057,3.867824905812521
0-20 cm,48924934,4.4,5.11,3.17,16.9,,25.9,0.8,35.3,,,,,SE,SE3,SE33,SE332,67.03485546,23.08536266,14-08-18,251,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,4.66413083691701,3.9377101087386754
0-20 cm,49384832,3.4,4.28,17.28,456.3,,27.5,18.7,334.1,,,,,SE,SE3,SE33,SE332,66.05324344,23.61484961,31-07-18,51,C23,U120,Woodland,Other coniferous woodland,Forestry,2.8086407826538,3.5063207353852337
0-20 cm,47302554,3.9,4.52,7.185,20.45,,-1.0,1.65,87.25,,,,,SI,SI0,SI03,SI036,45.96836011,15.27525182,07-08-18,532,C10,U120,Woodland,Broadleaved woodland,Forestry,3.39682445579029,3.195017312238557
