Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc
0-20 cm,51224484,3,4,8.35,89.4,3,27.5,3.2,119.5,,,,,FI,FI1,FI19,FI193,62.64812519,25.70316256,31-07-18,131,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,51224520,4,4.34,40.3,243,1,44,14.4,68.1,,,,,FI,FI1,FI19,FI193,62.96295774,25.87136845,06-06-18,122,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,51244402,3.4,4.14,8.18,54.2,1,41.4,2.2,145.9,,,,,FI,FI1,FI19,FI193,61.92652109,25.37159166,05-07-18,93,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,51264412,4.5,4.97,31.4,116.2,2,21,7.6,165.9,,,,,FI,FI1,FI19,FI193,62.0101562,25.4527622,05-07-18,183,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,51264430,3.5,4.1,13.59,127.2,NA,24,5.6,100.6,,,,,FI,FI1,FI19,FI193,62.1677035,25.53287857,02-08-18,113,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,51264520,3.3,4.22,21.8,455.4,9,51,17.2,840.1,,,,,FI,FI1,FI19,FI193,62.95485046,25.94787453,06-06-18,107,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,51264552,3.3,3.92,13.1,167.4,NA,56.3,7.2,83.9,,,,,FI,FI1,FI19,FI193,63.23447706,26.10148191,12-06-18,172,C33,U120,Woodland,Other mixed woodland,Forestry
0-20 cm,51284364,3.8,4.44,7.18,43.7,NA,13.1,2.9,76.6,,,,,FI,FI1,FI19,FI193,61.5859766,25.28027883,12-07-18,90,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,51284472,3.8,4.5,5.11,47,2,57.8,1.8,54.3,,,,,FI,FI1,FI19,FI193,62.53115834,25.76124325,13-06-18,151,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,51324374,4,4.88,5.67,38.9,1,< LOD,2.1,96.6,,,,,FI,FI1,FI19,FI193,61.66575802,25.39696429,12-07-18,128,C23,U120,Woodland,Other coniferous woodland,Forestry
0-20 cm,51324422,4,4.75,6.8,70.7,NA,26.6,3.8,77.8,,,,,FI,FI1,FI19,FI193,62.08583465,25.60887392,13-06-18,164,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,51344468,4.1,4.83,4.52,61.8,2,28.6,2.9,66.4,,,,,FI,FI1,FI19,FI193,62.48412055,25.855885,13-06-18,119,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,51364372,3.1,3.96,8.66,117.9,1,31,4.5,192.3,,,,,FI,FI1,FI19,FI193,61.64042481,25.46174285,12-07-18,136,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,51364436,4.8,5.38,8.33,25.5,NA,12.7,2,67.6,,,,,FI,FI1,FI19,FI193,62.20032203,25.74663259,02-08-18,84,C10,U420,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use
0-20 cm,51404388,3.8,4.47,9.21,82.4,NA,18,4.1,91.3,,,,,FI,FI1,FI19,FI193,61.7725448,25.60561306,23-07-18,124,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,51404416,4,4.88,6.75,46.4,3,25,3.1,151.2,,,,,FI,FI1,FI19,FI193,62.0174371,25.73062373,22-07-18,120,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,51404478,3.9,4.67,3.78,27.2,2,59.5,1.2,46.3,,,,,FI,FI1,FI19,FI193,62.55935284,26.01560957,13-06-18,177,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,51404506,3.9,4.73,4.53,48.2,1,45.3,2.4,58.7,,,,,FI,FI1,FI19,FI193,62.80392689,26.14814496,27-06-18,122,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,51424438,3.9,4.6,7.06,52.5,NA,41.7,2.5,102.8,,,,,FI,FI1,FI19,FI193,62.20575839,25.86778039,02-08-18,98,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,51444480,3.3,4.12,22.6,490.8,NA,59.4,22.2,407.5,,,,,FI,FI1,FI19,FI193,62.56865387,26.10050844,13-06-18,138,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,51504382,4.1,4.98,5.08,61.7,1,43.6,2.3,97.9,,,,,FI,FI1,FI19,FI193,61.70018243,25.7630236,23-07-18,136,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,51504440,3.5,4.4,6.35,125.1,NA,104.3,4.2,180,,,,,FI,FI1,FI19,FI193,62.20702879,26.02630092,02-08-18,151,D10,U120,Shrubland,Shrubland with sparse tree cover,Forestry
0-20 cm,51524414,3.7,4.56,6.53,83.2,2,20.7,3.9,105.9,,,,,FI,FI1,FI19,FI193,61.97583192,25.9441296,22-07-18,193,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,51524432,4.8,5.78,6.36,15.6,NA,34.3,1.4,60.3,,,,,FI,FI1,FI19,FI193,62.13307889,26.02663796,02-08-18,78,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,51544498,3.8,4.62,5.45,40.4,1,< LOD,1.5,67.9,,,,,FI,FI1,FI19,FI193,62.7051253,26.37542923,27-06-18,135,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,51584502,4.8,5.48,13.72,30.6,NA,44.8,2.2,325.3,,,1.8,3.9,FI,FI1,FI19,FI193,62.7316602,26.47056933,27-06-18,105,B53,U111,Cropland,Other Leguminous  and mixtures for fodder,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,51604396,3.8,4.61,4.45,41.1,1,19.2,1.9,59,,,,,FI,FI1,FI19,FI193,61.80237378,26.01003677,22-07-18,144,C23,U120,Woodland,Other coniferous woodland,Forestry
0-20 cm,51624498,3.6,4.4,15.14,208.4,2,17.7,8.1,198.5,,,,,FI,FI1,FI19,FI193,62.68838431,26.52687132,26-06-18,0,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,51644404,3.3,4.1,17.38,471.5,5,26.8,20.6,136.8,,,,,FI,FI1,FI19,FI193,61.86408382,26.1203093,22-07-18,133,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,51644458,3.5,4.4,9.7,86.6,1,10.6,4.8,119.4,,,,,FI,FI1,FI19,FI193,62.33534841,26.37228624,20-06-18,177,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,51684392,3.9,4.9,3.63,33.2,2,40.7,1.5,45.7,,,,,FI,FI1,FI19,FI193,61.75113961,26.13905845,24-07-18,124,C32,U120,Woodland,Pine dominated mixed woodland,Forestry
0-20 cm,51704450,3.5,4.53,6.61,67.7,2,10.5,3.4,97.8,,,,,FI,FI1,FI19,FI193,62.25306715,26.44641714,09-07-18,141,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,51704468,4.2,4.97,4.78,35.2,NA,< LOD,2.6,59,,,,,FI,FI1,FI19,FI193,62.41001516,26.53247095,20-06-18,109,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,50564166,3.1,3.94,15.93,431.3,NA,40.8,14.1,501,,,,,FI,FI1,FI1B,FI1B1,59.97560385,23.21831776,16-09-18,9,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,50624162,3.5,4.34,4.39,44.3,1,11.5,1.7,62.2,,,,,FI,FI1,FI1B,FI1B1,59.93030209,23.3096534,16-09-18,22,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,50824170,2.8,3.73,18.94,492.8,1,33.2,12,665.3,,,,,FI,FI1,FI1B,FI1B1,59.96668984,23.68908421,14-09-18,26,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,50824192,5.1,5.93,18.82,26.7,NA,52.9,2.6,274.6,,,,,FI,FI1,FI1B,FI1B1,60.16031659,23.76918554,11-09-18,28,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50844186,3.4,4.48,7.43,84.9,NA,< LOD,3.1,61.2,,,,,FI,FI1,FI1B,FI1B1,60.10403769,23.78246267,11-09-18,48,D10,U120,Shrubland,Shrubland with sparse tree cover,Forestry
0-20 cm,50844240,4.2,4.9,3.72,23.3,1,26.1,1.1,44.2,,,,,FI,FI1,FI1B,FI1B1,60.57910199,23.98343665,12-09-18,127,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,50864196,3.8,4.46,5.73,43.5,1,16.1,2.6,57,,,,,FI,FI1,FI1B,FI1B1,60.18853658,23.85449176,09-09-18,55,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,50884234,6,6.39,16.16,28.8,NA,50.8,2.5,224.2,,,,,FI,FI1,FI1B,FI1B1,60.51925154,24.03206549,29-09-18,84,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50904192,6.2,6.55,15.12,20.1,NA,27.5,1.9,163.8,,,1.3,3.5,FI,FI1,FI1B,FI1B1,60.14633694,23.91027124,09-09-18,48,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50904246,3.7,4.47,7.72,91.7,1,< LOD,4.8,95.4,,,,,FI,FI1,FI1B,FI1B1,60.62120294,24.11342852,08-09-18,139,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,50964212,4.2,4.93,5.26,36.7,1,21.9,1.9,60.1,,,,,FI,FI1,FI1B,FI1B1,60.31160323,24.09100322,16-09-18,76,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,50964230,3.8,4.46,6.65,54.4,1,17.8,2.7,96.4,,,,,FI,FI1,FI1B,FI1B1,60.46983154,24.15928199,09-09-18,82,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,51044200,3.7,4.47,9.13,110.4,NA,21.2,5.7,103.4,,,,,FI,FI1,FI1B,FI1B1,60.19184301,24.18707106,09-09-18,17,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,51044218,3.4,4.08,6.69,61.5,NA,39,2.9,84.8,,,,,FI,FI1,FI1B,FI1B1,60.35001413,24.25548588,12-09-18,73,C23,U120,Woodland,Other coniferous woodland,Forestry
0-20 cm,51084210,4.8,5.44,12.78,28.6,NA,< LOD,2.6,204.3,,,2.8,11.1,FI,FI1,FI1B,FI1B1,60.27251628,24.2957056,14-09-18,15,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,51184210,4.2,4.51,33.1,71.4,NA,13.9,3.6,126.6,,,,,FI,FI1,FI1B,FI1B1,60.2543546,24.47237747,16-08-18,60,E30,U120,Grassland,Spontaneously re-vegetated surfaces,Forestry
0-20 cm,51244204,3.3,4.12,14.55,208.5,1,45.3,8.7,177.5,,,,,FI,FI1,FI1B,FI1B1,60.1906922,24.55499091,02-07-18,43,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,51344234,5.3,5.95,7.61,26.7,NA,51.2,2.2,179.5,,,,,FI,FI1,FI1B,FI1B1,60.43531289,24.8497979,18-06-18,37,B41,U111,Cropland,Dry pulses,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,51404250,3.6,4.43,11.3,122.9,NA,56.6,6.5,131.2,,,,,FI,FI1,FI1B,FI1B1,60.56424848,25.02078914,23-09-18,78,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,51424242,5.5,6.17,7.06,22,NA,34.4,1.9,123.8,,,,,FI,FI1,FI1B,FI1B1,60.49034709,25.02391261,18-06-18,39,B53,U111,Cropland,Other Leguminous  and mixtures for fodder,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,51444232,5.8,6.18,7.33,44.2,1,11.2,2.6,120.9,,,,,FI,FI1,FI1B,FI1B1,60.39892232,25.01897741,08-06-18,43,C10,U361,Woodland,Broadleaved woodland,"Amenities, museum, leisure (e.g. parks, botanical gardens)"
0-20 cm,51504224,6,6.6,8.45,46.4,1,43.6,2.8,176.1,,,,,FI,FI1,FI1B,FI1B1,60.31742417,25.09279754,18-06-18,29,E10,U370,Grassland,Grassland with sparse tree/shrub cover,Residential
0-20 cm,51504242,3.3,4.16,12.71,153.6,2,72,6.3,214.6,,,,,FI,FI1,FI1B,FI1B1,60.47509601,25.16588647,08-06-18,73,C33,U120,Woodland,Other mixed woodland,Forestry
0-20 cm,51544238,4.5,5.26,8.21,63.9,NA,19,5,315.4,,,,,FI,FI1,FI1B,FI1B1,60.43239171,25.22044548,15-06-18,36,E10,U319,Grassland,Grassland with sparse tree/shrub cover,"Electricity, gas and thermal power distribution"
0-20 cm,51544246,3.6,4.34,7.56,80.3,1,11.3,3.1,111.1,,,,,FI,FI1,FI1B,FI1B1,60.50244192,25.25324925,31-05-18,84,C32,U120,Woodland,Pine dominated mixed woodland,Forestry
0-20 cm,51564222,3,4.15,10.5,207.3,3,32.2,8.2,207.5,,,,,FI,FI1,FI1B,FI1B1,60.28844063,25.19060048,22-06-18,62,C33,U120,Woodland,Other mixed woodland,Forestry
0-20 cm,51564276,4.1,4.63,11.5,49.5,NA,< LOD,2.9,79,,,,,FI,FI1,FI1B,FI1B1,60.7611747,25.41346771,28-09-18,83,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,51584250,4.1,4.34,104.9,337.4,NA,25.8,20.8,243.1,,,,,FI,FI1,FI1B,FI1B1,60.52973246,25.34076233,03-08-18,61,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,51624232,4.3,5.08,7.15,31.4,1,< LOD,2.1,128,,,,,FI,FI1,FI1B,FI1B1,60.36443332,25.33738621,15-06-18,44,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,51664234,3.6,4.43,7.36,69.9,1,13.3,3.6,89.8,,,,,FI,FI1,FI1B,FI1B1,60.37417352,25.41632005,13-08-18,39,C32,U120,Woodland,Pine dominated mixed woodland,Forestry
0-20 cm,51724242,2.9,3.85,10.84,379.7,3,22.2,12.5,440.6,,,,,FI,FI1,FI1B,FI1B1,60.43243072,25.55567717,14-08-18,59,C23,U120,Woodland,Other coniferous woodland,Forestry
0-20 cm,51804264,3.7,4.5,13.13,137.3,2,12.5,9.7,244.9,,,,,FI,FI1,FI1B,FI1B1,60.60892948,25.79052314,10-09-18,51,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,51844252,4.1,5.33,15.21,350.9,4,22.6,16.2,316.2,,,,,FI,FI1,FI1B,FI1B1,60.49609373,25.81033647,19-06-18,69,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,51844270,3.3,3.95,11.34,43.7,NA,38.7,1.7,62.4,,,,,FI,FI1,FI1B,FI1B1,60.65335035,25.88739509,11-06-18,69,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,51884268,6.2,6.76,36.99,34.8,NA,40.4,3.2,319.8,,,2.9,10.4,FI,FI1,FI1B,FI1B1,60.62784102,25.94992024,13-06-18,35,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,52004278,5.8,6.39,23.03,30.6,NA,63.5,2.8,330.9,,,,,FI,FI1,FI1B,FI1B1,60.69076791,26.20694258,20-06-18,45,B15,U111,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,52044278,4.1,4.67,13.8,124.6,NA,18.6,7.1,211.3,,,,,FI,FI1,FI1B,FI1B1,60.68256452,26.27811601,20-06-18,39,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,52064272,4.5,5.06,11.06,43.9,NA,22.4,4,333.2,,,,,FI,FI1,FI1B,FI1B1,60.6261216,26.28720161,19-06-18,46,B41,U111,Cropland,Dry pulses,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,52184256,4.1,4.58,30.7,184.3,1,33.9,12.2,286,,,,,FI,FI1,FI1B,FI1B1,60.46184589,26.42915943,17-06-18,19,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,49504222,6.3,6.56,17.92,11.1,NA,39.9,1.2,117.4,,,0.8,4.4,FI,FI1,FI1C,FI1C1,60.63645577,21.51916834,15-06-18,5,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49624258,3.4,4.14,7.27,95.7,2,23.1,4.3,129.2,,,,,FI,FI1,FI1C,FI1C1,60.93757561,21.85092682,18-06-18,46,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,49704256,3.3,4.4,22.9,352.4,3,38.6,11.9,413.4,,,,,FI,FI1,FI1C,FI1C1,60.90777818,21.98942698,03-07-18,58,C32,U120,Woodland,Pine dominated mixed woodland,Forestry
0-20 cm,49724240,5.3,5.8,17.95,54.6,NA,64.3,4.4,381.1,,,,,FI,FI1,FI1C,FI1C1,60.76312668,21.97310864,28-06-18,10052,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49744242,5.1,5.66,11.97,52.5,NA,60.6,3.9,132.9,,,,,FI,FI1,FI1C,FI1C1,60.77778742,22.01574819,21-06-18,44,B15,U111,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49784196,4.8,5.72,6.58,28.2,NA,78.1,2.8,322.1,,,,,FI,FI1,FI1C,FI1C1,60.36461627,21.93825079,12-07-18,10031,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49784208,4.4,5.07,12.04,89.1,1,33.6,5.6,319.7,,,2.9,8.8,FI,FI1,FI1C,FI1C1,60.47081731,21.9768867,13-07-18,10024,C33,U420,Woodland,Other mixed woodland,Semi-natural and natural areas not in use
0-20 cm,49784244,3.2,3.97,29.7,506.4,NA,59.2,19.2,363.2,,,,,FI,FI1,FI1C,FI1C1,60.78937443,22.09453209,28-06-18,10060,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,49804234,3.5,4.34,6.75,60,3,25.8,2.6,109.4,,,,,FI,FI1,FI1C,FI1C1,60.69783282,22.09759345,10-06-18,55,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,49864226,5,5.57,10.91,80,NA,59.6,6.2,191.6,,,,,FI,FI1,FI1C,FI1C1,60.61783828,22.17906575,20-06-18,30,B15,U111,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49964190,6,6.57,24.7,55.4,1,25.6,5.1,561.7,,,,,FI,FI1,FI1C,FI1C1,60.28401113,22.23922097,09-07-18,25,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49964200,3.9,4.61,10.16,98.4,1,23.4,5.1,156,,,,,FI,FI1,FI1C,FI1C1,60.37243317,22.27209727,11-07-18,38,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,49984222,6.1,6.57,12.02,29.5,NA,42.5,2.8,266.5,,,2.8,7.9,FI,FI1,FI1C,FI1C1,60.56381112,22.38097882,06-06-18,45,B43,U111,Cropland,Other fresh vegetables,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50084198,5.2,6.12,6.89,20,NA,27,1.8,178.4,,,,,FI,FI1,FI1C,FI1C1,60.33597003,22.47911635,08-07-18,19,B15,U111,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50084240,4.9,5.64,7.39,20.7,NA,26.2,1.8,181,,,2.4,7.7,FI,FI1,FI1C,FI1C1,60.70704469,22.62157255,23-08-18,59,B37,U111,Cropland,Other non-permanent industrial crops,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50084270,3.1,4.28,2.62,13.7,1,12.3,0.7,32.4,,,,,FI,FI1,FI1C,FI1C1,60.97203019,22.72562561,09-08-18,99,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,50104224,3.6,4.47,7.98,108.2,3,26.2,5.4,142.9,,,,,FI,FI1,FI1C,FI1C1,60.56251007,22.60268355,05-07-18,64,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,50104242,3,4,11.67,223.8,5,33.8,8.8,289.2,,,,,FI,FI1,FI1C,FI1C1,60.721509,22.66443171,23-08-18,85,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,50104264,3.6,4.46,8.02,80.3,1,27.9,4.8,135,,,,,FI,FI1,FI1C,FI1C1,60.91581298,22.74084668,09-08-18,81,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,50124194,4.5,5.22,11.81,23.7,NA,22.6,2.2,181.9,,,,,FI,FI1,FI1C,FI1C1,60.29430062,22.53682124,07-07-18,16,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50144222,5.5,6.2,10.26,30.1,NA,22.3,2.6,287.3,,,2.3,4.9,FI,FI1,FI1C,FI1C1,60.53844773,22.66744207,05-07-18,43,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50144226,3.9,4.61,6.88,59.4,1,19.1,2.5,55.5,,,,,FI,FI1,FI1C,FI1C1,60.57377538,22.68116087,19-06-18,75,C23,U120,Woodland,Other coniferous woodland,Forestry
0-20 cm,50144242,5.1,5.84,8.16,36.2,NA,43.4,2.7,271.8,,,,,FI,FI1,FI1C,FI1C1,60.71507568,22.73637723,23-08-18,68,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50164234,3.2,4.02,9.95,228.7,4,30.9,10.3,223.6,,,,,FI,FI1,FI1C,FI1C1,60.64120527,22.74458949,24-08-18,77,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,50184210,4.1,4.73,10.48,142.9,NA,16,14,127,,,,,FI,FI1,FI1C,FI1C1,60.42605153,22.69782056,06-07-18,59,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,50184236,5.1,5.91,10.03,42.1,NA,38.6,3.5,160.8,,,,,FI,FI1,FI1C,FI1C1,60.65563249,22.78741495,24-08-18,67,B15,U111,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50204184,4.7,5.36,8.35,81.9,NA,31.7,6.3,218.7,,,,,FI,FI1,FI1C,FI1C1,60.19323481,22.64507102,20-06-18,33,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50204242,3.1,4,4.8,37.1,1,< LOD,1.7,57.3,,,,,FI,FI1,FI1C,FI1C1,60.70535831,22.84424564,23-08-18,84,C23,U120,Woodland,Other coniferous woodland,Forestry
0-20 cm,50224262,5.8,6.49,7.59,24.7,NA,61.9,2.1,237.9,,,,,FI,FI1,FI1C,FI1C1,60.87862408,22.95072985,21-08-18,81,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50244248,4.3,5.32,4.33,39.8,1,12.2,2.3,131,,,,,FI,FI1,FI1C,FI1C1,60.75178891,22.93725026,22-08-18,87,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,50244264,5.8,6.6,7.23,25.5,NA,27.1,2.2,210,,,,,FI,FI1,FI1C,FI1C1,60.89298688,22.99397293,21-08-18,79,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50244278,4.2,5.2,17.03,68.5,NA,10.2,4.4,123.4,,,,,FI,FI1,FI1C,FI1C1,61.01652062,23.04407247,08-08-18,103,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,50264180,6,6.61,14.86,22.7,NA,104.3,2.2,169,,,,,FI,FI1,FI1C,FI1C1,60.14829023,22.73771566,19-09-18,20,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50264234,3.9,4.85,5.68,53.2,1,< LOD,3.2,81.3,,,,,FI,FI1,FI1C,FI1C1,60.62495922,22.92393465,24-08-18,73,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,50264268,5.1,5.84,11.23,26.7,NA,47.1,2.1,304.7,,,,,FI,FI1,FI1C,FI1C1,60.92498258,23.0444133,09-08-18,75,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50284206,3.3,4,11.94,118.9,1,18.9,5.2,124.8,,,,,FI,FI1,FI1C,FI1C1,60.37457328,22.86219949,22-09-18,10071,C23,U120,Woodland,Other coniferous woodland,Forestry
0-20 cm,50284220,3,3.8,10.03,330.2,3,31.9,13.8,444.1,,,,,FI,FI1,FI1C,FI1C1,60.49813489,22.91078094,22-09-18,10100,C23,U120,Woodland,Other coniferous woodland,Forestry
0-20 cm,50284232,6.6,6.83,20.4,34.3,1,42.1,3,308.5,,,3.3,9.7,FI,FI1,FI1C,FI1C1,60.60403422,22.95275729,25-08-18,76,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50324178,3.7,4.45,8.4,69.3,2,12.2,3.6,176.3,,,,,FI,FI1,FI1C,FI1C1,60.12094082,22.83694677,19-09-18,37,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,50324190,4,4.75,3.9,15.6,1,21.2,0.9,38.4,,,,,FI,FI1,FI1C,FI1C1,60.22685104,22.87806811,20-09-18,27,C32,U120,Woodland,Pine dominated mixed woodland,Forestry
0-20 cm,50344270,3.3,4.07,18.28,245.6,NA,28.2,12.5,252.5,,,,,FI,FI1,FI1C,FI1C1,60.92932588,23.19626968,09-08-18,112,C32,U120,Woodland,Pine dominated mixed woodland,Forestry
0-20 cm,50364240,6.1,6.44,21,42.6,NA,68.5,3.7,301.5,,,,,FI,FI1,FI1C,FI1C1,60.66141055,23.1244643,23-09-18,80,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50364250,3.2,4.02,18.49,218.5,NA,19.9,8.6,182.6,,,,,FI,FI1,FI1C,FI1C1,60.7496068,23.16022745,10-08-18,111,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,50384260,5.5,6.28,7.75,18.9,NA,30,1.6,215.3,,,,,FI,FI1,FI1C,FI1C2,60.83444879,23.23226845,10-08-18,94,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50424278,3.3,4.11,12.34,281.5,5,35.5,9,223.9,,,,,FI,FI1,FI1C,FI1C2,60.98639419,23.37020414,07-08-18,10155,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,50444180,3.5,4.38,21.7,512.6,3,24,20.7,1074.6,,,,,FI,FI1,FI1C,FI1C1,60.11896127,23.05573348,18-09-18,41,C32,U420,Woodland,Pine dominated mixed woodland,Semi-natural and natural areas not in use
0-20 cm,50464184,6.5,6.86,18.6,21.9,NA,55.8,2.1,130.5,,,1.5,4.3,FI,FI1,FI1C,FI1C1,60.15093519,23.10497537,18-09-18,2,B41,U111,Cropland,Dry pulses,Agriculture (excluding fallow land and kitchen gardens)
